paper,variable,type,model,method,parameter,reason,decision
andersen2008size,PM,temporal,generalised additive Poisson time series regression model,NA,NA,to include days with the strongest lag effects for NCtot,"lag 0-5 , 4-day pollutant average (lag 0-3) , 5-day average (lag 0-4) , 6-day average (lag 0-5)"
andersen2008size,humidity,parameter,generalised additive Poisson time series regression model,smoothing spline,smoothing parameter,NA,4 or 5 
andersen2008size,temperature,parameter,generalised additive Poisson time series regression model,smoothing spline,smoothing parameter,NA,4 or 5 
andersen2008size,time,parameter,generalised additive Poisson time series regression model,smoothing spline,smoothing parameter,to control for long-term trend and seasonality,"3, 4 or 5 /year"
anderson2001particulate,PM,parameter,generalised additive model,NA,NA,standard approach in time-series analysis,linear terms
anderson2001particulate,PM,temporal,generalised additive model,NA,NA,"initial hypothesis based on published work , comprehensive examination of lag effects","mean of lags 0+1 , individual lags from day 0 to day 3 , cumulative lags, mean 0+1+2 and mean 0+1+2+3"
anderson2001particulate,humidity,parameter,generalised additive model,NA,NA,to minimize Akaike's information criterion,non-parametric functional form
anderson2001particulate,temperature,parameter,generalised additive model,NA,NA,to minimize Akaike's information criterion,non-parametric functional form
anderson2001particulate,time,temporal,generalised additive model,NA,NA,to control for seasonal patterns,warm (April-September) and cool (October-March) seasons
atkinson2010urban,3-hour_carbon_data,temporal,Poisson log-linear time-series model,NA,NA,in accordance with UK Local Air Quality Management guidance,averaged to obtain daily 24-hour averages subject to the availability of 6 or more values in each day
atkinson2010urban,PM,temporal,Poisson log-linear time-series model,NA,NA,NA,concurrent exposure (lag 0) and lagged exposure up to 6 days
atkinson2010urban,humidity,temporal,Poisson log-linear time-series model,NA,NA,NA,same day and 3 previous days
atkinson2010urban,standard_errors,parameter,Poisson log-linear time-series model,NA,NA,to account for overdispersion,scaled by the overdispersion parameter estimated from the model
atkinson2010urban,temperature,temporal,Poisson log-linear time-series model,NA,NA,NA,same day and 3 previous days
atkinson2010urban,time,parameter,Poisson log-linear time-series model,smoothing spline,smoothing parameter,NA,NA
bell2007effect,PM,temporal,time-series analysis,NA,NA,"to explore pollution effects , to reflect multiple days of exposure","single-day lags of 0, 1, 2 and 3 days , average of the same day and previous three days (L03)"
bell2007effect,temperature,parameter,time-series analysis,natural spline,knots,adjustment by weather,6 
bell2007effect,time,parameter,time-series analysis,natural spline,knots,to control for long-term trends and seasonality,7  per year
bell2008seasonal,PM,temporal,generalized additive model,NA,NA,"to investigate short-term effects of PM2.5 on cardiovascular or respiratory hospitalizations , to allow the PM2.5 effect to vary smoothly throughout the year","lag 0, 1, and 2 days"
bell2008seasonal,humidity,parameter,generalized additive model,natural spline,knots,to control for weather variables,3 
bell2008seasonal,humidity,temporal,generalized additive model,NA,NA,to control for previous days' conditions,3-day averaged
bell2008seasonal,temperature,parameter,generalized additive model,natural spline,knots,to control for weather variables,6 
bell2008seasonal,temperature,temporal,generalized additive model,NA,NA,to control for previous days' conditions,3-day averaged
bell2008seasonal,time,parameter,generalized additive model,natural spline,knots,"to account for temporal trends , to model differential temporal trends by age category","8  per year , 1  per year"
braga,PM,parameter,generalized additive Poisson regression,NA,NA,to facilitate the combination of coefficients across cities and the examination of lag structure,linear association with deaths
braga,PM,temporal,generalized additive Poisson regression,NA,NA,to see if traditional approaches resulted in a downward bias in the estimated effects of PM10,1-day or 2-day moving average
braga,humidity,parameter,generalized additive Poisson regression,LOESS,smoothing window,to allow for city-specific differences,chosen separately in each location to minimize Akaike's Information Criteria
braga,time,parameter,generalized additive Poisson regression,LOESS,smoothing window,to eliminate seasonal patterns in the residuals and to reduce the residuals of the regression to white noise,chosen separately in each city
breitner2009short,PM,parameter,generalized semiparametric Poisson regression models,polynomial distributed lag,degree of polynomial,to investigate cumulative associations between air pollutants and daily mortality,3rd-degree polynomial
breitner2009short,PM,temporal,generalized semiparametric Poisson regression models,NA,NA,"to investigate cumulative associations between air pollutants and daily mortality counts , to estimate time-varying associations of the pollutants","lags up to 14 days , means of lags 0-5 and 0-14"
breitner2009short,confounding_variables,parameter,generalized semiparametric Poisson regression models,smoothing spline,smoothing parameter,to allow for nonlinear confounding effects,NA
breitner2009short,meteorologic_variables,temporal,generalized semiparametric Poisson regression models,NA,NA,NA,"means of lags 0-1, 0-2, and 0-5"
breitner2009short,time,parameter,generalized semiparametric Poisson regression models,natural spline,knots,to allow for nonlinear confounding effects,NA
brook2007further,PM,temporal,generalized additive model,NA,NA,NA,lag 1 day
brook2007further,city-specific_estimates,spatial,generalized additive model,NA,NA,to account for true variation in risk among cities and sampling error,two-stage process combining city-specific estimates
brook2007further,day_of_study,parameter,generalized additive model,natural spline,knots,NA,6  per year
brook2007further,temperature,parameter,generalized additive model,natural spline,knots,NA,3 
burnett1998association,PM,temporal,generalized additive model,NA,NA,based on Akaike's Information Criteria (AIC),selected lag structure that best predicted daily mortality
burnett1998association,climate_variables,parameter,generalized additive model,LOESS,smoothing window,to model any relatively smooth nonlinearities in the association between climate and mortality,50% of the data
burnett1998association,daily_deaths,parameter,generalized additive model,LOESS,smoothing window,to remove temporal cycles like long-term trends and seasonal cycles that could confound the relationship between air pollution and mortality,31 days
burnett1998association,humidity,temporal,generalized additive model,NA,NA,based on Akaike's Information Criteria (AIC),selected lag with lowest AIC
burnett1998association,temperature,temporal,generalized additive model,NA,NA,based on Akaike's Information Criteria (AIC),selected lag with lowest AIC
burnett2001association,day_of_study,parameter,generalized additive model,LOESS,smoothing window,to minimize autocorrelation in the residuals,70-day span
burnett2001association,humidity,parameter,generalized additive model,LOESS,smoothing window,NA,50 percent
burnett2001association,humidity,temporal,generalized additive model,NA,NA,"to identify weather variables required to predict admissions , sufficient to explain day-to-day variations in admission rates for respiratory problems based on forward inclusion, stepwise regression analysis using Akaike Information Criterion","recorded on the date of admission and 1 and 2 days prior to admission , with no time lag"
burnett2001association,ozone,temporal,generalized additive model,NA,NA,"to examine association with hospital admissions , ozone was positively associated with increased hospital admissions for several days after the date of exposure","recorded on the day of admission and up to 5 days prior to admission , 5-day moving average of the daily 1-hour maximum ozone concentration"
burnett2001association,temperature,parameter,generalized additive model,LOESS,smoothing window,NA,50 percent
burnett2001association,temperature,temporal,generalized additive model,NA,NA,to identify weather variables required to predict admissions,recorded on the date of admission and 1 and 2 days prior to admission
burnett2004associations,CO,temporal,random-effects regression model,NA,NA,strongest association with mortality,1 day prior to death
burnett2004associations,CoH,temporal,random-effects regression model,NA,NA,strongest association with mortality,1 day prior to death
burnett2004associations,NO2,temporal,random-effects regression model,NA,NA,strongest association with mortality,3-day moving average
burnett2004associations,O3,temporal,random-effects regression model,NA,NA,strongest association with mortality,2-day moving average
burnett2004associations,PM,temporal,random-effects regression model,NA,NA,strongest association with mortality,1 day prior to death
burnett2004associations,SO2,temporal,random-effects regression model,NA,NA,strongest association with mortality,1 day prior to death
burnett2004associations,SO4,temporal,random-effects regression model,NA,NA,strongest association with mortality,1 day prior to death
burnett2004associations,humidex,parameter,random-effects regression model,natural spline,knots,"to account for potential nonlinear associations with mortality , model selection criterion","up to 4 knots , model that minimized the AIC was selected as the optimal weather model"
