paper,variable,type,model,method,parameter,reason,decision
andersen2008size,NCtot,temporal,generalized additive Poisson time series regression model,NA,NA,to include days with the strongest lag effects,"4-day pollutant average (lag 0-3) , 5-day average (lag 0-4) , 6-day average (lag 0-5)"
andersen2008size,humidity,parameter,generalized additive Poisson time series regression model,smoothing spline,smoothing parameter,NA,4 or 5 
andersen2008size,temperature,parameter,generalized additive Poisson time series regression model,smoothing spline,smoothing parameter,NA,4 or 5 
andersen2008size,time,parameter,generalized additive Poisson time series regression model,smoothing spline,smoothing parameter,to control for long-term trend and seasonality,"3, 4, or 5 /year"
anderson2001particulate,PM,temporal,regression,NA,NA,based on published work from the United Kingdom and elsewhere,"mean of lags 0+1 , individual lags from day 0 to day 3 , cumulative lags, mean 0+1+2 and mean 0+1+2+3"
anderson2001particulate,humidity,parameter,regression,generalized additive model,functional form,minimized Akaike's information criterion,non-parametric
anderson2001particulate,temperature,parameter,regression,generalized additive model,functional form,minimized Akaike's information criterion,non-parametric
atkinson2010urban,PM,temporal,Poisson log-linear time-series model,NA,NA,NA,"lagged exposure up to 6 days , concurrent exposure (lag 0)"
atkinson2010urban,humidity,parameter,Poisson log-linear time-series model,natural spline,knots,NA,NA
atkinson2010urban,humidity,temporal,Poisson log-linear time-series model,NA,NA,NA,3 previous days
atkinson2010urban,month,temporal,Poisson log-linear time-series model,NA,NA,NA,month strata
atkinson2010urban,temperature,parameter,Poisson log-linear time-series model,natural spline,knots,NA,NA
atkinson2010urban,temperature,temporal,Poisson log-linear time-series model,NA,NA,NA,3 previous days
atkinson2010urban,time,parameter,Poisson log-linear time-series model,smoothing spline,smoothing parameter,NA,NA
bell2007effect,PM,temporal,time-series analysis,NA,NA,NA,"single-day lags of 0, 1, 2, and 3 days , average of the same day and previous 3 days (L03)"
bell2007effect,temperature,parameter,time-series analysis,natural spline,knots,NA,6
bell2007effect,time,parameter,time-series analysis,natural spline,knots,NA,"7 per year , 3, 5, 9 and 11"
bell2008seasonal,PM,temporal,Bayesian hierarchical model,NA,NA,NA,"lags 0, 1, and 2 days"
bell2008seasonal,humidity,parameter,Bayesian hierarchical model,natural spline,knots,NA,3 
bell2008seasonal,season,temporal,Bayesian hierarchical model,NA,NA,NA,3-month periods
bell2008seasonal,temperature,parameter,Bayesian hierarchical model,natural spline,knots,NA,6 
bell2008seasonal,time,parameter,Bayesian hierarchical model,natural spline,knots,NA,"8/year  , 1/year "
braga,barometric_pressure,parameter,generalized additive Poisson regression,LOESS,smoothing window,to allow for city-specific differences,chosen separately in each location to minimize Akaike's Information Criteria
braga,day_of_the_week,parameter,generalized additive Poisson regression,LOESS,smoothing window,to allow for city-specific differences,chosen separately in each location to minimize Akaike's Information Criteria
braga,humidity,parameter,generalized additive Poisson regression,LOESS,smoothing window,to allow for city-specific differences,chosen separately in each location to minimize Akaike's Information Criteria
braga,temperature,parameter,generalized additive Poisson regression,LOESS,smoothing window,to allow for city-specific differences,chosen separately in each location to minimize Akaike's Information Criteria
braga,time,parameter,generalized additive Poisson regression,LOESS,smoothing window,"to eliminate seasonal patterns in the residuals and to reduce the residuals of the regression to ""white noise""",separate smoothing parameter was chosen in each city
breitner2009short,PM,parameter,confounder models,smoothing spline,smoothing parameter,NA,3 
breitner2009short,doctor's_practice_indexes,temporal,confounder models,NA,NA,the influenza epidemics may have reached their peaks in Erfurt at another time than in the whole of Germany,up to  3 weeks
breitner2009short,mortality,parameter,confounder models,natural spline,knots,to allow for nonlinear confounding effects,NA
breitner2009short,time,parameter,confounder models,NA,NA,many of the meteorologic variables exhibit seasonal patterns themselves and hence capture part of the observed seasonal trends in the outcome,readjusted
breitner2009short,weather_variables,temporal,confounder models,NA,NA,NA,"lags 0-2, the mean of lags 0-1, and the mean of lags 0-2"
brook2007further,PM,temporal,generalized additive model,NA,NA,NA,1-day lag
brook2007further,day_of_study,parameter,generalized additive model,natural spline,knots,NA,6  per year
brook2007further,temperature,parameter,generalized additive model,natural spline,knots,NA,3 
burnett1998association,PM,temporal,generalized additive model,NA,NA,NA,lag structure that best predicted daily mortality
burnett1998association,climate_variables,parameter,generalized additive model,LOESS,smoothing window,NA,50% of the data
burnett1998association,daily_deaths,parameter,generalized additive model,LOESS,smoothing window,NA,31 days
burnett1998association,humidity,temporal,generalized additive model,NA,NA,NA,lag corresponding to the lowest AIC
burnett1998association,temperature,temporal,generalized additive model,NA,NA,NA,lag corresponding to the lowest AIC
burnett2001association,PM,temporal,LOESS,NA,NA,NA,adjusted for temporal trends and day-of-the-week effects
burnett2001association,hospital_admissions,temporal,LOESS,NA,NA,NA,"adjusted for the influences of day of the week, season, and weather"
burnett2001association,humidity,temporal,LOESS,NA,NA,sufficient to explain day-to-day variations in admission rates for respiratory problems,no time lag
burnett2001association,ozone,temporal,LOESS,NA,NA,ozone was positively associated with increased hospital admissions for several days after the date of exposure,"levels recorded on the day of admission and 1, 2, 3, and 4 days prior to admission"
burnett2001association,time,parameter,LOESS,LOESS,smoothing window,NA,70-day span
burnett2001association,weather,parameter,LOESS,LOESS,smoothing window,NA,span of 50 percent
burnett2004associations,NO2,temporal,random-effects regression model,NA,NA,NA,3-d moving average
burnett2004associations,O3,temporal,random-effects regression model,NA,NA,NA,2-d moving average
burnett2004associations,PM,temporal,random-effects regression model,NA,NA,NA,"lag times of 0, 1, and 2 d , 2- and 3-d moving averages"
burnett2004associations,mortality,parameter,random-effects regression model,natural spline,knots,model nonlinear associations,"1 knot for each of 15, 30, 60, 90, 120, 180, and 365 d of observation"
burnett2004associations,weather,parameter,random-effects regression model,natural spline,knots,accounted for potential nonlinear associations with mortality,up to 4 knots
castillejos2016airborne,mortality,spatial,generalized additive model,NA,NA,the function governing the behavior of mortality over time is unknown,"nonparametrically smoothed, empirical functions"
castillejos2016airborne,mortality,temporal,generalized additive model,NA,NA,NA,varying time lags and averaging periods
castillejos2016airborne,particles,temporal,generalized additive model,NA,NA,"When longer exposure windows were examined, the average exposure during the previous 5 days showed a stronger and more precise association",average concentration of the previous 5 days
castillejos2016airborne,temperature,temporal,generalized additive model,NA,NA,mortality model that provided the best compromise between fit and number of parameters,mean temperature during the 3 days before death
castillejos2016airborne,time,parameter,generalized additive model,smoothing spline,smoothing parameter,mortality model that provided the best compromise between fit and number of parameters,7.7 
chen2008influence,PM,temporal,general linear models,NA,NA,NA,"1-day lag , 2-day lag , 3-day lag , 4-day lag , 5-day lag , 6-day lag , 7-day lag , first 3 days"
chen2008influence,humidity,temporal,general linear models,NA,NA,NA,similar lags and multiday averages
chen2008influence,temperature,temporal,general linear models,NA,NA,NA,similar lags and multiday averages
chen2008influence,time,parameter,general linear models,natural spline,knots,"to remove temporal trends and seasonal and subseasonal cycles in COPD hospitalizations. This smoother requires the specification of degrees of freedom (number of knots + 2) so that the autocorrelation in the residuals is minimized , to remove temporal trends and seasonal and subseasonal cycles in COPD hospitalizations. This smoother requires the specification of degrees of freedom (number of knots + 2) so that the autocorrelation in the residuals is minimized. We examined knots every 15, 30, 60, 90, 120 days","number of knots + 2 , every 30 days"
chock2000study,temperature,parameter,Poisson regression,LOESS,smoothing window,to determine minimum temperature,NA
chock2000study,time,parameter,Poisson regression,cubic B-spline basis functions,degrees of freedom,"to determine how the degree of filtering influences the regression results , to assure that seasonal trends are removed","varied from 15 to greater than 39 , quarterly interval"
cifuentes2011effect,PM,temporal,Poisson model,NA,NA,NA,"1-hr maximum , 24-hr average , maximum 8-hr average"
cifuentes2011effect,all_variables,temporal,Poisson model,NA,NA,NA,"same day and up to 5 previous days (lags 1-5) , average of the previous days, from 1 to 5"
cifuentes2011effect,humidity,parameter,Poisson model,smoothing spline,smoothing parameter,NA,8 
cifuentes2011effect,humidity,temporal,Poisson model,NA,NA,NA,average of 1-5 previous days
cifuentes2011effect,temperature,parameter,Poisson model,smoothing spline,smoothing parameter,NA,8 
cifuentes2011effect,temperature,temporal,Poisson model,NA,NA,NA,average of 1-5 previous days
cifuentes2011effect,time,parameter,Poisson model,LOESS,smoothing window,by minimizing the autocorrelation of the residuals,determined
dockery1992air,weather_variables,temporal,Poisson regression,NA,NA,NA,same and previous day
fairley1999daily,temperature,parameter,generalized additive model,polynomials,NA,"To test the sensitivity of the results to the use of GAM, a parallel modeling approach was performed using sine and cosine terms for time and day of year and polynomials in minimum and maximum temperature.",NA
fairley1999daily,temporal,parameter,generalized additive model,generalized additive model,degrees of freedom,"The modeling strategy follows that of Samet et al. (10), first fitting terms for season and trend, then adding terms for meteorology, and finally adding pollutant terms, with the number of seasonal, trend, and meteorology terms determined by optimizing Akaike's information criterion (AIC). , To test the sensitivity of the results to the use of GAM, a parallel modeling approach was performed using sine and cosine terms for time and day of year and polynomials in minimum and maximum temperature.",optimized using AIC
fairley1999daily,temporal,temporal,generalized additive model,NA,NA,"Based on data from the late 1970s when the district operated a number of COH monitors in SCC, correlations with the 4th Street site were quite high.",late 1970s
fairley1999daily,weather,parameter,generalized additive model,generalized additive model,degrees of freedom,"The modeling strategy follows that of Samet et al. (10), first fitting terms for season and trend, then adding terms for meteorology, and finally adding pollutant terms, with the number of seasonal, trend, and meteorology terms determined by optimizing Akaike's information criterion (AIC).",optimized using AIC
franklin2008role,PM,temporal,Poisson regression,NA,NA,NA,single- and multiple-day exposure lags
franklin2008role,humidity,temporal,Poisson regression,NA,NA,NA,3-day running mean
franklin2008role,temperature,parameter,Poisson regression,NA,NA,to account for particle penetration,quadratic function
franklin2008role,temperature,temporal,Poisson regression,NA,NA,NA,3-day running mean
franklin2008role,time,parameter,Poisson regression,natural spline,knots,NA,1.5 
goldberg2001association,PM,temporal,generalized additive model,NA,NA,NA,"1-day lag , average of lags 0 to 2 days"
goldberg2001association,time,parameter,generalized additive model,LOESS,smoothing window,consistent with white noise process,span of either 91 or 131 days of 3653 days of observations
goldberg2001association,weather,parameter,generalized additive model,LOESS,smoothing window,NA,50%
huang2009visibility,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,"Based on published literature, 3 df (whole period of study) for mean temperature and relative humidity could control well for meteorologic effects on mortality",3 
huang2009visibility,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,"Based on published literature, 3 df (whole period of study) for mean temperature and relative humidity could control well for meteorologic effects on mortality",3 
huang2009visibility,time,parameter,generalized additive model,smoothing spline,smoothing parameter,PACF was used to guide the selection of degrees of freedom for time trend until the absolute values of sum of PACF of residuals for lags up to 30 reach minimal,NA
ito2006pm,PM,temporal,Poisson Generalized Linear Models,NA,NA,NA,lags between 0 and 4 days
ito2006pm,humidity,parameter,Poisson Generalized Linear Models,natural spline,knots,NA,"3  , 2  , 4 "
ito2006pm,humidity,temporal,Poisson Generalized Linear Models,NA,NA,NA,"lag 1-3 day average , lag 0 and lag 2"
ito2006pm,temperature,parameter,Poisson Generalized Linear Models,natural spline,knots,"to fit immediate temperature effects , to fit delayed temperature effects","4  , 6  , 3  , 5 "
ito2006pm,temperature,temporal,Poisson Generalized Linear Models,NA,NA,NA,"average of lag 1-3 days , lag 1-3 day average , 1-day lag"
ito2006pm,time,parameter,Poisson Generalized Linear Models,natural spline,knots,"based on the inspection of the fitted mortality series (to see if it captured broad peak influenza epidemics that vary from year to year) and based on the extent of autocorrelation of the residuals , to examine the sensitivity of estimated PM2.5 mortality risks","38  , 2, 8, and 16  per year"
jalaludin2009association,exposure,temporal,generalized linear model,NA,NA,NA,"0, 1, 2, and 3 days , 2-day cumulative lag"
jalaludin2009association,meteorologic,parameter,generalized linear model,natural spline,knots,NA,at quartiles
jalaludin2009association,time,parameter,generalized linear model,LOESS,smoothing window,to control for seasonality and long-term trends,"up to 12 , 4 , 9 , 12"
jayaraman2008air,CO,temporal,generalized additive model,NA,NA,NA,lag days from 0 to 3
jayaraman2008air,NO2,temporal,generalized additive model,NA,NA,NA,lag days from 0 to 3
jayaraman2008air,O3,temporal,generalized additive model,NA,NA,NA,lag days from 0 to 5
jayaraman2008air,PM,parameter,generalized additive model,LOESS,smoothing window,NA,lowess smooth univariate function
jayaraman2008air,PM,temporal,generalized additive model,NA,NA,NA,lag days from 0 to 3
jayaraman2008air,SO2,temporal,generalized additive model,NA,NA,NA,lag days from 0 to 3
jimenez2009short,exposure_and_response_variables,parameter,Poisson regression with generalised additive models,penalised spline regression,smoothing parameter,to yield an efficient multiple smoothing parameter estimation,NA
jimenez2009short,smoothing_functions,parameter,Poisson regression with generalised additive models,NA,NA,The choice of degrees of freedom for the smoothing functions was leftto the algorithm 'mgcv' package for R software,NA
jimenez2010role,mortality,temporal,generalized linear models with Poisson regression,NA,NA,To establish non-spurious relationships and delimit the time interval in which the association between dependent and independent variables took place,lag 0 and subsequent lags
kan20007differentiating,PM,temporal,generalized additive model,NA,NA,single-day lag models underestimate the cumulative effect of pollutants on mortality,2-day moving average of current and previous day concentrations (lag=01)
kan20007differentiating,humidity,parameter,generalized additive model,smoothing spline,smoothing parameter,based on the previous literature,3 
kan20007differentiating,temperature,parameter,generalized additive model,smoothing spline,smoothing parameter,based on the previous literature,3 
kan20007differentiating,time,parameter,generalized additive model,smoothing spline,smoothing parameter,"partial autocorrelation function (PACF) was used to guide the selection of degrees of freedom (df) for time trend until the absolute values of sum of PACF of the residuals for lags up to 30 reach minimal , minimum of 1 df per year was required"," which minimizes the absolute value of the sum of PACF of the residuals , minimum of 1  per year , 10  , 9 "
katsouyanni,BS,temporal,generalized additive model,NA,NA,based on previous studies having shown those lags to be the most relevant,average of lags 0 and 1
katsouyanni,PM,temporal,generalized additive model,NA,NA,based on previous studies having shown those lags to be the most relevant,average of lags 0 and 1
katsouyanni,humidity,temporal,generalized additive model,NA,NA,NA,same day and of lags up to 2 days or averaged over 0 to 2 days
katsouyanni,temperature,temporal,generalized additive model,NA,NA,NA,same day and of lags up to 2 days or averaged over 0 to 2 days
katsouyanni,time,parameter,generalized additive model,LOESS,smoothing window,to avoid eliminating short-term patterns actually due to the exposure under study,"broad range of smoothing parameters , not below 2 months"
kettunen2007associations,humidity,temporal,generalized additive model,NA,NA,to represent slower effects of meteorology,3-day lagged values
kettunen2007associations,temperature,temporal,generalized additive model,NA,NA,to represent slower effects of meteorology,3-day lagged values
kettunen2007associations,time,parameter,generalized additive model,smoothing spline,smoothing parameter,NA,NA
klemm2000aerosol,humidity,parameter,Poisson regression in a GAM framework,natural spline,knots,based on the quartiles of each variable,3 knots
klemm2000aerosol,temperature,parameter,Poisson regression in a GAM framework,natural spline,knots,based on the quartiles of each variable,3 knots
klemm2000aerosol,time,parameter,Poisson regression in a GAM framework,natural spline,knots,NA,time-based knots at monthly midpoints
