paper,id,model,variable,method,parameter,type,reason,decision,reference
andersen2008size,1,generalized additive Poisson time series regression model,temperature,smoothing spline,smoothing parameter,parameter,NA,4 or 5 df,NA
andersen2008size,2,generalized additive Poisson time series regression model,humidity,smoothing spline,smoothing parameter,parameter,NA,4 or 5 df,NA
andersen2008size,3,generalized additive Poisson time series regression model,time,smoothing spline,smoothing parameter,parameter,to control for long-term trend and seasonality,"3, 4, or 5 df/year",NA
andersen2008size,4,generalized additive Poisson time series regression model,NCtot,NA,NA,temporal,to include days with the strongest lag effects,4-day pollutant average (lag 0-3),NA
andersen2008size,5,generalized additive Poisson time series regression model,NCtot,NA,NA,temporal,to include days with the strongest lag effects,5-day average (lag 0-4),NA
andersen2008size,6,generalized additive Poisson time series regression model,NCtot,NA,NA,temporal,to include days with the strongest lag effects,6-day average (lag 0-5),NA
anderson2001particulate,1,regression,temperature,generalized additive model,functional form,parameter,minimized Akaike's information criterion,non-parametric,akaike1974new
anderson2001particulate,2,regression,humidity,generalized additive model,functional form,parameter,minimized Akaike's information criterion,non-parametric,akaike1974new
anderson2001particulate,3,regression,PM,NA,NA,temporal,based on published work from the United Kingdom and elsewhere,mean of lags 0+1,NA
anderson2001particulate,4,regression,PM,NA,NA,temporal,NA,individual lags from day 0 to day 3,NA
anderson2001particulate,5,regression,PM,NA,NA,temporal,NA,"cumulative lags, mean 0+1+2 and mean 0+1+2+3",NA
atkinson2010urban,1,Poisson log-linear time-series model,month,NA,NA,temporal,NA,month strata,NA
atkinson2010urban,2,Poisson log-linear time-series model,time,smoothing spline,smoothing parameter,parameter,NA,NA,NA
atkinson2010urban,3,Poisson log-linear time-series model,temperature,natural spline,knots,parameter,NA,NA,NA
atkinson2010urban,4,Poisson log-linear time-series model,humidity,natural spline,knots,parameter,NA,NA,NA
atkinson2010urban,5,Poisson log-linear time-series model,temperature,NA,NA,temporal,NA,3 previous days,NA
atkinson2010urban,6,Poisson log-linear time-series model,humidity,NA,NA,temporal,NA,3 previous days,NA
atkinson2010urban,7,Poisson log-linear time-series model,PM,NA,NA,temporal,NA,lagged exposure up to 6 days,NA
atkinson2010urban,8,Poisson log-linear time-series model,PM,NA,NA,temporal,NA,concurrent exposure (lag 0),NA
bell2007effect,1,time-series analysis,PM,NA,NA,temporal,NA,"single-day lags of 0, 1, 2, and 3 days",NA
bell2007effect,2,time-series analysis,PM,NA,NA,temporal,NA,average of the same day and previous 3 days (L03),NA
bell2007effect,3,time-series analysis,time,natural spline,knots,parameter,NA,7 per year,NA
bell2007effect,4,time-series analysis,temperature,natural spline,knots,parameter,NA,6,NA
bell2007effect,5,time-series analysis,time,natural spline,knots,parameter,NA,"3, 5, 9 and 11",NA
bell2008seasonal,1,Bayesian hierarchical model,temperature,natural spline,knots,parameter,NA,6 df,NA
bell2008seasonal,2,Bayesian hierarchical model,humidity,natural spline,knots,parameter,NA,3 df,NA
bell2008seasonal,3,Bayesian hierarchical model,temperature,natural spline,knots,parameter,NA,6 df,NA
bell2008seasonal,4,Bayesian hierarchical model,humidity,natural spline,knots,parameter,NA,3 df,NA
bell2008seasonal,5,Bayesian hierarchical model,time,natural spline,knots,parameter,NA,8/year df,NA
bell2008seasonal,6,Bayesian hierarchical model,time,natural spline,knots,parameter,NA,1/year df,NA
bell2008seasonal,7,seasonal interaction model,season,NA,NA,temporal,NA,3-month periods,NA
bell2008seasonal,8,main-effect and seasonal interaction models,PM,NA,NA,temporal,NA,"lags 0, 1, and 2 days",NA
braga,1,generalized additive Poisson regression,time,LOESS,smoothing window,parameter,"to eliminate seasonal patterns in the residuals and to reduce the residuals of the regression to ""white noise""",separate smoothing parameter was chosen in each city,braga2001lag
braga,2,generalized additive Poisson regression,temperature,LOESS,smoothing window,parameter,to allow for city-specific differences,chosen separately in each location to minimize Akaike's Information Criteria,braga2001lag
braga,3,generalized additive Poisson regression,humidity,LOESS,smoothing window,parameter,to allow for city-specific differences,chosen separately in each location to minimize Akaike's Information Criteria,braga2001lag
